#Timestamps x y yaw 
1560000122.942086 19.2181491852 22.0353050232 -2.4409399032599994 
1560000122.97543 19.216455861027036 22.03385985859036 -2.4373089728353468 
1560000123.008775 19.21291458126289 22.03083755945256 -2.429715541735079 
1560000123.042119 19.21112244800584 22.029275581714955 -2.422052770578988 
1560000123.075463 19.20937692740285 22.027735643809205 -2.41457575344581 
1560000123.108807 19.207640681478527 22.026185106305427 -2.407302282240443 
1560000123.142152 19.204237055627267 22.023078100164064 -2.400028603006154 
1560000123.175496 19.200816016287394 22.019920550159192 -2.3924822151945424 
1560000123.20884 19.197413523635472 22.01674319439858 -2.3846404236127845 
1560000123.242185 19.194049538226572 22.01352327619397 -2.375962506722626 
1560000123.275529 19.19150593988326 22.01106705728351 -2.3668090715718444 
1560000123.308873 19.189846012448648 22.009435113319572 -2.357160187002472 
1560000123.342217 19.185002129366485 22.004524319273454 -2.3468838758630435 
1560000123.375562 19.180911111939494 22.000327203590164 -2.336681081154461 
1560000123.408906 19.177693015078777 21.996962829663072 -2.3265704696456524 
1560000123.44225 19.17452367822888 21.99355222630578 -2.317227793365388 
1560000123.475595 19.171376614096502 21.99012103519646 -2.3085847586118944 
1560000123.508939 19.16825264338865 21.986668894962854 -2.30067625387698 
1560000123.542283 19.163644833276038 21.981472680421657 -2.29458454540494 
1560000123.575627 19.16051412859214 21.977927804560835 -2.2894859955131786 
1560000123.608972 19.15898389887179 21.976173700805578 -2.2854134919866063 
1560000123.642316 19.15296262950581 21.96921219468665 -2.2832644683929932 
1560000123.674929 19.148418635077604 21.9639520706896 -2.2821624963854132 
1560000123.708269 19.14538027058589 21.960425329537696 -2.2821389678197526 
1560000123.741608 19.142338302958272 21.95690234908759 -2.283279084152339 
1560000123.774947 19.139292656718595 21.953381866519045 -2.284556316253918 
1560000123.808287 19.136242831380226 21.949864011266254 -2.2859411697121423 
1560000123.841626 19.133188189022388 21.946352386995045 -2.2871206178798946 
1560000123.874966 19.129420500051737 21.942027723494782 -2.2879626273512863 
1560000123.908305 19.12483063141638 21.936765081123202 -2.2884241259859226 
1560000123.941644 19.120238330456672 21.93150491652147 -2.288406116957456 
1560000123.974984 19.116355259795785 21.92706174342393 -2.289377497443342 
1560000124.008323 19.113288988525277 21.923559250150397 -2.2915080536417967 
1560000124.041663 19.111690687699664 21.921757934894202 -2.29847154047265 
1560000124.075002 19.1108646393 21.9208278656 -2.304006243348254 
1560000124.108341 19.1108646393 21.9208278656 -2.30769950418362 
1560000124.141681 19.1108646393 21.9208278656 -2.30765464458435 
1560000124.17502 19.1108646393 21.9208278656 -2.3064674979012367 
1560000124.20836 19.1108646393 21.9208278656 -2.304123385077589 
1560000124.241699 19.112363832312322 21.92250278372665 -2.299960788929717 
1560000124.275038 19.1131916046 21.9234275818 -2.2959095204994613 
1560000124.308378 19.1131916046 21.9234275818 -2.292058130329073 
1560000124.341717 19.114671968339525 21.925123114676467 -2.2874514529427126 
1560000124.375057 19.114779398747643 21.92523333004198 -2.2824537433707572 
1560000124.408396 19.113262160340863 21.923468093737473 -2.277039758737324 
1560000124.441736 19.1132125854 21.9234104156 -2.270835663701845 
1560000124.475075 19.113905996147196 21.924249525850115 -2.2637913634143487 
1560000124.508415 19.115388938812654 21.926044064506968 -2.2558203879457404 
1560000124.541754 19.11402219509864 21.92434758415273 -2.2478151739491055 
1560000124.575093 19.1132450104 21.9233837128 -2.2405237227730344 
1560000124.608433 19.1132450104 21.9233837128 -2.234044274695486 
1560000124.641772 19.114625677595363 21.925165894241612 -2.2293876835775217 
1560000124.674521 19.1153831482 21.9261436462 -2.2262172405179768 
1560000124.707855 19.1153831482 21.9261436462 -2.224603437698622 
1560000124.74119 19.1153831482 21.9261436462 -2.224914690025221 
1560000124.774524 19.1153831482 21.9261436462 -2.2253156872430284 
1560000124.807859 19.1153831482 21.9261436462 -2.225705441656255 
1560000124.841193 19.1153831482 21.9261436462 -2.2243053573783675 
1560000124.874528 19.114747920571332 21.9253070049205 -2.221563548965631 
1560000124.907862 19.11334026710032 21.923453022272497 -2.2173019638438096 
1560000124.941196 19.1132717133 21.9233627319 -2.2089869795369723 
1560000124.974531 19.113885252117626 21.92421560255737 -2.198364761353202 
1560000125.007866 19.11524462390851 21.926105243896433 -2.185190362657766 
1560000125.0412 19.1153106689 21.926197052 -2.1693474977831957 
1560000125.074535 19.115884760713374 21.92707656062546 -2.1536565092339206 
1560000125.107869 19.11715635379824 21.92902464115921 -2.1383166465962598 
